id,area,dataset_or_asset,current_status,repo_path_or_pr,missing_material,loader_or_action,rigor_gate,claim_status,priority
0,repo_state,PR_385_real_validation_bundle,closed_unmerged_assets_safely_extracted,data/real/cosmology/desi_bao_dr2_cobaya,none_for_promoted_small_likelihood_assets,follow_current_main_manifests_and_receipts,PR385_history_preserved_safe_extraction_verified,claim_limited_to_data_custody,P2
1,existing_data,fsigma8_growth_minimal,implemented,data/real/cosmology/fsigma8_growth.csv,full_covariance_and_source_hashes,extend_check_rll_growth_covariance_loader,replace_diagonal_only_chi2,limited_claim_only,P0
2,existing_manifest,joint_real_inputs_manifest,existing,data/inputs/cosmology_joint/joint_real_inputs_manifest.json,audit_against_current_master,connect_to_master_registry,all_inputs_must_map_to_source_and_gate,claim_limited_until_audit,P0
3,existing_audit,real_data_materialization_audit,existing,results/audit/real_data_materialization_audit.json,refresh_after_master_registry,run_tools_real_data_materialization_audit,all_real_data_assets_have_status,claim_limited_until_refreshed,P0
4,existing_audit,real_source_signature_verification,existing,results/audit/real_source_signature_verification.md,sha256_for_new_sources,run_tools_verify_real_source_signatures,chain_of_custody_required,claim_limited_until_hashes,P0
5,background,cosmic_chronometers_Hz,partial_or_existing,search_existing_Hz_assets,H_z_values_errors_units_references_covariance_if_available,loader_Hz_table_to_chi2,unit_consistency_and_no_silent_covariance,allowed_if_units_and_refs_present,P0
6,bao,DESI_DR1_BAO,needed_or_partial,data/real/cosmology/desi_dr1_bao,BAO_measurements_full_covariance_window_metadata,loader_desi_bao_dr1.py,full_covariance_chi2_against_LCDM_w0wa_RLL,TOKEN_VAZIO_until_covariance,P0
7,bao,DESI_DR2_BAO,materialized_verified,data/real/cosmology/desi_bao_dr2_cobaya,none_for_committed_13x13_background_likelihood,scripts/check_desi_dr2_bao_covariance.py_and_tools/run_g4_background_tournament.py,full_covariance_13vector_order_hash_custody,claim_limited_background_only,P0
8,bao_rsd,SDSS_BOSS_eBOSS_DR16,needed,data/real/cosmology/sdss_eboss_dr16,consensus_BAO_RSD_measurements_covariance,loader_sdss_dr16_bao_rsd.py,legacy_baseline_before_DESI_claims,TOKEN_VAZIO_until_loaded,P0
9,sne,PantheonPlus,runtime_materializable_verified,data/real/cosmology/pantheon_plus/Pantheon+_Data/4_DISTANCES_AND_COVAR,heavy_STAT_SYS_covariance_not_committed_by_policy_but_pinned_materializer_exists,scripts/fetch_pantheon_covariance.py_plus_scripts/verify_pantheon_inputs.py_plus_tools/run_g4_background_tournament.py,full_STAT_SYS_covariance_profiled_MB_and_sha256_per_run,claim_limited_background_only,P0
10,cmb,Planck_2018_likelihood_or_priors,needed,data/real/cosmology/planck_2018,plik_or_distance_priors_lensing_covariance,loader_planck2018.py,CMB_baseline_required_for_cosmology_claim,TOKEN_VAZIO_until_loaded,P0
11,cmb_lensing,ACT_DR6_lensing,needed,data/real/cosmology/act_dr6_lensing,lensing_bandpowers_covariance,loader_act_dr6_lensing.py,lensing_growth_crosscheck,TOKEN_VAZIO_until_loaded,P1
12,cmb_lensing,Planck_PR4_lensing,needed,data/real/cosmology/planck_pr4_lensing,lensing_bandpowers_covariance,loader_planck_pr4_lensing.py,independent_lensing_check,TOKEN_VAZIO_until_loaded,P1
13,cmb_engine,CLASS_native_RLL,contract_only,src/rll/class_transfer_adapter_contract.json,native_background_perturbation_transfer_patch,backend_CLASS_RLL_patch,Cl_and_transfer_table_generated_by_backend,TOKEN_VAZIO_until_native,P0
14,cmb_engine,CAMB_native_RLL,contract_only,src/rll/class_transfer_adapter_contract.json,native_background_perturbation_transfer_patch,backend_CAMB_RLL_patch,Cl_and_transfer_table_generated_by_backend,TOKEN_VAZIO_until_native,P1
15,nonlinear,Halofit_HMcode_validation,needed,data/real/cosmology/nonlinear_validation,nonlinear_flags_validation_against_standard_backend,loader_nonlinear_pk_validation.py,nonlinear_Pk_claim_requires_backend,TOKEN_VAZIO_until_validated,P1
16,sampling,Cobaya_MontePython_MCMC,needed,configs/cobaya_or_montepython,priors_chains_seeds_convergence,run_mcmc_or_nested_sampling,evidence_and_posterior_not_chi2_only,TOKEN_VAZIO_until_chains,P0
17,provenance,hashes_licenses_sources,needed,data/real/cosmology/SOURCES_AND_HASHES.csv,source_url_license_date_sha256_for_each_file,verify_real_source_signatures.py,all_real_data_must_have_custody,TOKEN_VAZIO_for_uncustodied,P0
18,release,Zenodo_ASCL_package,needed,release_tag_and_citation_files,versioned_artifact_DOI_citation_metadata,release_packaging_script,academic_citation_and_reuse_gate,TOKEN_VAZIO_until_release,P2
19,paper,current_claim_language,partial,docs_and_paper_files,align_all_claims_to_master_registry,claim_boundary_check,public_claims_must_match_gate_status,claim_allowed_only_when_gate_passes,P0
