id,state,desi_relevance,routes,D,P,O,F,E,formula,next_test
H01,H,DIRECT_DESI,FRQ-001;FRQ-004,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,w(z) = -1 + sin(theta_999) * Spiral_(sqrt(3)/2)^z,Definir theta_999 e a normalização de Spiral; ajustar contra w0waCDM/ΛCDM com likelihood congelado.
H02,U,INDIRECT_COSMOLOGY,FRQ-003;FRQ-005,TOKEN_VAZIO,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,rho_DM ⊕ rho_DE = Phi_ethica * curl(A_toroidal),Substituir operadores simbólicos por campos covariantes e definir T_mu_nu/Q_mu.
H03,H,DIRECT_DESI,FRQ-001,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,H(z)^2 = H0^2 [Omega_m(1+z)^3 + Omega_Lambda (sqrt(3)/2)^z],Derivar densidade/pressão efetiva e comparar nested models com DR2 BAO + CMB + SN.
H04,U,DIRECT_DESI,FRQ-001;FRQ-002,TOKEN_VAZIO,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,"delta(k,a) = delta0 * a * sum_n F(n-1) * k^n","Introduzir escala k0 para tornar a série adimensional, convergência e equação de perturbação."
H05,U,DIRECT_DESI,FRQ-001;FRQ-004,TOKEN_VAZIO,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,f_BAO(r) = sin(pi*r)/r * (sqrt(2))^r_drag,Definir r e r_drag em unidades adimensionais e template com nuisance/systematics.
H06,H,INDIRECT_COSMOLOGY,FRQ-001;FRQ-002,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,Omega_K = 1 - (Omega_m + Omega_Lambda + Omega_Spiral),Definir evolução de Omega_Spiral e testar degenerações com Omega_K.
H07,U,INDIRECT_COSMOLOGY,FRQ-001,TOKEN_VAZIO,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,Lambda_eff = Lambda0 * exp(-Delta_catetos * z),Definir Delta_catetos como parâmetro físico adimensional ou escala com unidade.
H08,H,DIRECT_DESI,FRQ-003,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,c_s^2(z) = (sqrt(3)/2) * dP_dark/d rho_dark,Fechar equações de fundo+perturbações e estabilidade c_s^2.
H09,U,DIRECT_DESI,FRQ-002,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,gamma = ln(f)/ln(Omega_m) = 0.55 + zeta_infty_chi_n,Converter zeta_infty_chi_n em parametrização observável gamma0+gamma1 z/(1+z).
H10,U,INDIRECT_COSMOLOGY,FRQ-003;FRQ-002,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,T_mu_nu = (rho+P)u_mu u_nu + P g_mu_nu + Pi_hexagonal,"Definir Pi_mu_nu covariante, traceless e sua evolução linear."
H11,H,OUTSIDE_DESI_CORE,TOKEN_VAZIO_ROUTE,PASS,TOKEN_VAZIO,TOKEN_VAZIO,PASS,TOKEN_VAZIO,phi_dot^2 = V(phi) * sin(30 deg),"Especificar ação, regime inflacionário e observável CMB/GW; não é teste DESI direto."
H12,U,INDIRECT_COSMOLOGY,FRQ-003,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,M_halo = M0 * F(N1) * F(N-2),"Definir mapa N↔halo, seleção e teste contra distribuições contínuas."
H13,A,OUTSIDE_DESI_CORE,FRQ-005,TOKEN_VAZIO,TOKEN_VAZIO,TOKEN_VAZIO,TOKEN_VAZIO,TOKEN_VAZIO,S_universo = A/(4G) - sum(Erros_cosmicos),"Manter como parábola até definir entropia, unidades e mecanismo semiclassico."
H14,U,INDIRECT_COSMOLOGY,FRQ-001,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,d_L(z) = (1+z) int_0^z c dz' / [H(z') * Phi_ethica],Substituir Phi_ethica por função física calibrável e testar degeneração com M_B/H0.
H15,U,DIRECT_DESI,FRQ-001;FRQ-002,PASS,FAIL,PASS,PASS,TOKEN_VAZIO,sigma8(z) = sigma8_0 * [1 - (sqrt(3)/2)^(-z)],A forma escrita dá sigma8(0)=0 e viola a própria normalização sigma8_0; reformular antes do fit.
H16,U,INDIRECT_COSMOLOGY,FRQ-004,TOKEN_VAZIO,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,P(k) = A k^n_s * M_10x10x10,Definir M como operador escalar/transfer function em k e preservar isotropia ou prever anisotropia.
H17,A,OUTSIDE_DESI_CORE,TOKEN_VAZIO_ROUTE,FAIL,TOKEN_VAZIO,TOKEN_VAZIO,TOKEN_VAZIO,TOKEN_VAZIO,Omega_DE = int_0^inf (Amor * Ciencia) dV,Preservar como linguagem simbólica; não é hipótese física até existir variável mensurável com unidades.
H18,U,DIRECT_DESI,FRQ-002,FAIL,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,v_p = H r + v_peculiar x Spiral_(sqrt(3)/2),Trocar produto vetorial inválido com escalar por rotação/operador tensorial definido.
H19,U,INDIRECT_COSMOLOGY,FRQ-003;FRQ-005,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,"L_dark = -1/4 F_mu_nu F^mu_nu + 1/2 d_mu phi d^mu phi - V(phi,theta_999)","Definir simetrias, acoplamento explícito e derivar equações de movimento."
H20,U,OUTSIDE_DESI_CORE,TOKEN_VAZIO_ROUTE,TOKEN_VAZIO,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,z_reionizacao ∝ Delta_catetos^2 * sqrt(2),"Definir escala e testar em surveys 21-cm/CMB, não como claim DESI."
H21,H,INDIRECT_COSMOLOGY,FRQ-001,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,N_eff = 3.046 + pi*sin(30 deg)/(sqrt(3)/2),Calcular previsão numérica e confrontar BBN+CMB+BAO; mecanismo de espécie extra obrigatório.
H22,H,INDIRECT_COSMOLOGY,FRQ-002,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,alpha(z) = alpha0 * [1 + 1e-5*z*Spiral_(sqrt(3)/2)],Adicionar dependência espacial possível e confrontar limites de laboratório/quasar.
H23,U,INDIRECT_COSMOLOGY,FRQ-003,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,rho_b/rho_DM = Phi_ethica * sqrt(2),Definir Phi_ethica como parâmetro físico e confrontar omega_b/omega_c.
H24,U,DIRECT_DESI,FRQ-001,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,r_s = int_zd^inf c_s(z')/H(z') dz' ≡ R_Coroa_Circular,Separar definição padrão de r_s da equivalência nova e prever desvio mensurável.
H25,H,INDIRECT_COSMOLOGY,FRQ-002,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,G_dot/G = -H0 * [1 - sqrt(3)/2],Confrontar imediatamente com limites independentes de Gdot antes de cosmological fit.
H26,U,DIRECT_DESI,FRQ-001,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,w_a = -dw/da = pi * sin(theta_999),"Definir theta_999 e relação consistente entre w(a), w0 e wa."
H27,U,DIRECT_DESI,FRQ-004,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,V_void = (4/3)pi R_v^3 / [F(N1)F(N-1)F(N-2)],Definir N a partir de observável independente e controlar seleção de void finder.
H28,U,OUTSIDE_DESI_CORE,TOKEN_VAZIO_ROUTE,TOKEN_VAZIO,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,tau = int n_e sigma_T a d eta ⊕ LambdaPsiDelta3_n,Converter hiperforma em termo físico aditivo com unidades de profundidade óptica.
H29,H,DIRECT_DESI,FRQ-002,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,Phi_grav(r) = (G M/r) * exp[-r/(Spiral_(sqrt(3)/2)*lambda_C)],Derivar de uma ação/campo mediador e impor limite GR em pequena escala.
H30,U,INDIRECT_COSMOLOGY,FRQ-003,TOKEN_VAZIO,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,m_nu = sum_i y_i <phi>/sqrt(2) * Sigma_RAFAELIA,Definir Sigma como campo/operador e preservar matriz de massas/mixing.
H31,U,INDIRECT_COSMOLOGY,FRQ-001;FRQ-002,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,DeltaT/T = (1/3) Phi_grav + ISW_toroidal,Derivar o termo de evolução dos potenciais métricos e sua correlação angular.
H32,U,DIRECT_DESI,FRQ-002,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,f(R) = R + alpha R^2 cos(theta_999),"Fixar unidade de alpha, theta e testar estabilidade/solar-system/nested GR."
H33,U,INDIRECT_COSMOLOGY,FRQ-001,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,mu(z) = 5 log10[d_L(z)/10 pc] * zeta_infty_chi_n,Definir zeta e testar degeneração com calibração de magnitude.
H34,H,DIRECT_DESI,FRQ-002,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,n(M) = (rho_m/M) d ln sigma^-1/dM f(sigma) * sqrt(3)/2,Comparar contra nuisance de mass calibration e simulações antes de interpretar física.
H35,U,INDIRECT_COSMOLOGY,FRQ-002,PASS,FAIL,PASS,PASS,TOKEN_VAZIO,R_curv = A_s (k/k*)^(n_s-1) * exp(pi i),exp(pi i)=-1; como power spectrum isso não pode ser negativo. Reinterpretar como amplitude complexa antes de |.|^2.
H36,U,INDIRECT_COSMOLOGY,FRQ-001,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,Omega_rad(z) = Omega_r0(1+z)^4 * ThetaSigmaPi4,Definir operador como escalar/transfer function e testar BBN/CMB.
H37,H,INDIRECT_COSMOLOGY,TOKEN_VAZIO_ROUTE,TOKEN_VAZIO,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,L_gal = L0 * M_halo^(sqrt(3)/2),Introduzir massa de referência para dimensionalidade e comparar SHMR/HOD.
H38,U,OUTSIDE_DESI_CORE,FRQ-005,TOKEN_VAZIO,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,B_mu_nu = partial_mu A_nu - partial_nu A_mu * Phi_ethica,Restaurar antissimetria do tensor e definir acoplamento físico.
H39,U,INDIRECT_COSMOLOGY,FRQ-001,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,t_idade = int_0^inf dz/[(1+z)H(z)] ≡ Ciclo_UNO,Manter a integral física; definir Ciclo_UNO numericamente antes de equivalência.
H40,H,DIRECT_DESI,FRQ-003,TOKEN_VAZIO,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,Q_interacao = Gamma rho_DM rho_DE * sin(30 deg),"Especificar unidades de Gamma, Q_mu covariante e perturbações acopladas."
H41,H,OUTSIDE_DESI_CORE,TOKEN_VAZIO_ROUTE,PASS,TOKEN_VAZIO,PASS,PASS,TOKEN_VAZIO,sigma_ann v = <sigma v>_WIMP * Spiral_(sqrt(3)/2),Confrontar backgrounds astrofísicos e limites independentes; não é um teste DESI primário.
